"COLLAR_CODE,C,8";"LINE_NO,N,6,0";"UTC_DATE,D";"UTC_TIME,C,8";"LMT_DATE,D";"LMT_TIME,C,8";"ECEF_X,N,9,0";"ECEF_Y,N,9,0";"ECEF_Z,N,9,0";"LATITUDE,N,12,7";"LONGITUDE,N,12,7";"HEIGHT,N,9,2";"DOP,N,4,1";"NAV,C,2";"VALIDATED,C,3";"SATS_USED,N,2,0";"CH1_SATID,N,2,0";"CH1_C/N,N,2,0";"CH2_SATID,N,2,0";"CH2_C/N,N,2,0";"CH3_SATID,N,2,0";"CH3_C/N,N,2,0";"CH4_SATID,N,2,0";"CH4_C/N,N,2,0";"CH5_SATID,N,2,0";"CH5_C/N,N,2,0";"CH6_SATID,N,2,0";"CH6_C/N,N,2,0";"CH7_SATID,N,2,0";"CH7_C/N,N,2,0";"CH8_SATID,N,2,0";"CH8_C/N,N,2,0";"CH9_SATID,N,2,0";"CH9_C/N,N,2,0";"CH10_SATID,N,2,0";"CH10_C/N,N,2,0";"CH11_SATID,N,2,0";"CH11_C/N,N,2,0";"CH12_SATID,N,2,0";"CH12_C/N,N,2,0";"MAIN_VOL,N,4,2";"BU_VOL,N,4,2";"TEMP,N,4,0";"EASTING,N,20,0";"NORTHING,N,20,0";"REMARKS,C,128"
"GSM01438";1;13/01/05;"17:46:24";13/01/05;"18:46:24";3789045;911462;5032226;52.4307019;13.5256292;74.96;1.8;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;20;1807646;5818602;
"GSM01438";2;13/01/05;"17:50:24";13/01/05;"18:50:24";3789041;911460;5032225;52.4307275;13.5256144;71.51;2.8;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;16;1807645;5818605;
"GSM01438";3;13/01/05;"17:55:24";13/01/05;"18:55:24";3789044;911461;5032237;52.4307708;13.5256184;82.94;2.8;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;7;1807645;5818610;
"GSM01438";4;13/01/05;"18:00:30";13/01/05;"19:00:30";3789046;911463;5032233;52.4307317;13.5256401;81.24;3;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-3;1807647;5818606;
"GSM01438";5;13/01/05;"18:05:25";13/01/05;"19:05:25";3789042;911461;5032247;52.4308394;13.5256253;89.68;2.4;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-10;1807645;5818618;
"GSM01438";6;13/01/05;"18:10:37";13/01/05;"19:10:37";3789045;911459;5032237;52.4307672;13.5255864;83.25;3;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-17;1807643;5818609;
"GSM01438";7;13/01/05;"18:15:37";13/01/05;"19:15:37";3789036;911456;5032240;52.430851;13.5255744;79.87;2.8;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-22;1807641;5818619;
"GSM01438";8;13/01/05;"18:21:25";13/01/05;"19:21:25";3789043;911458;5032238;52.4307882;13.5255789;82.72;3.4;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-24;1807642;5818612;
"GSM01438";9;13/01/05;"18:25:31";13/01/05;"19:25:31";3789045;911460;5032238;52.430771;13.5256007;84.19;3.2;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-27;1807644;5818610;
"GSM01438";10;13/01/05;"18:30:25";13/01/05;"19:30:25";3789046;911464;5032237;52.4307519;13.5256544;84.56;3;"3D";"Yes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44;3.6;-29;1807648;5818608;
