2;1;2005-03-20 16:03:14 +0;2006-05-27 17:00:00 +0;End of batettery life. Sensor not recovered.
3;2;2005-10-23 20:00:53 +0;2006-10-28 13:00:00 +0;Death of animal. Sensor recovered.
4;3;2005-10-21 20:00:47 +0;2007-02-09 09:00:00 +0;End of batettery life. Sensor not recovered.
1;4;2005-10-16 16:00:00 +0;2006-10-29 13:00:00 +0;End of batettery life. Sensor not recovered.
5;5;2006-11-12 12:00:00 +0;2008-03-15 09:00:00 +0;End of batettery life. Sensor not recovered.
